,Brazil,Chile,Denmark,France,Germany,India,Iran,Italy,Mexico,Norway,Poland,Spain,Sweden,Switzerland,Turkey,United Kingdom,
0-9,29076910,2428079,606029,7527474,7880903,234861634,14565856,4994995,22169253,614323,3784871,4234486,1193951,884945,13419270,8044056,
10-19,31160445,2493879,675948,7883477,7930616,252201517,11747928,5733448,22350463,643031,3709136,4736077,1127127,834867,13595149,7642473,
20-29,34104643,2995538,775962,7371029,9377361,239902073,12342907,6103436,21735593,726383,4431558,4617599,1276930,1039729,13174163,8558707,
30-39,34476762,2945404,672290,8011050,10872020,215636276,16739445,6998434,18880030,738724,6004923,5901993,1320299,1219224,12774731,9295024,
40-49,29462006,2578404,738207,8325667,10243351,169660174,11655616,9022004,16547758,724930,5535441,7938499,1264123,1166588,11446579,8604251,
50-59,24421202,2352271,810126,8635056,13488393,128132230,8295331,9567192,12757971,712508,4563168,7046327,1296647,1320622,8908423,9173465,
60-69,16896862,1791786,654530,7764785,10644142,87150811,5396905,7484862,8264953,586156,5174147,5340654,1093868,977435,6192392,7286777,
70-79,8801551,993126,586138,5727704,7471414,39175398,2354607,6028908,4188713,446448,2900526,4015306,994244,751993,3353579,5830635,
80-89,3492448,436406,225319,3142141,4894143,12020150,829093,3699654,1668488,184086,1441605,2327453,431499,373598,1330708,2814122,
90-99,645429,97584,46328,865684,962305,1216182,64746,812378,356569,43572,296206,583305,98312,83921,142795,620660,
100-109,21150,3731,1326,19443,19295,47939,518,16517,12962,1080,5024,13083,2270,1695,1277,15834,
